player_id,first_name,last_name,name,dob,country_id,height,weight,hand,backhand,active,turned_pro,prize_money,wikipedia,age,current_rank,current_rank_points,best_rank,best_rank_date,best_rank_points,best_rank_points_date,current_elo_rank,current_elo_rating,best_elo_rank,best_elo_rank_date,best_elo_rating,best_elo_rating_date,goat_rank,goat_points,weeks_at_no1,titles,big_titles,grand_slams,tour_finals,alt_finals,masters,olympics,player_id.1,matches_won,matches_lost,matches_win_percentage,grand_slam_matches_won,grand_slam_matches_lost,grand_slam_win_percentage,tour_finals_matches_won,tour_finals_matches_lost,tour_finals_win_percentage,alt_finals_matches_won,alt_finals_matches_lost,alt_finals_win_percentage,masters_matches_won,masters_matches_lost,masters_matches_win_percentage,olympics_matches_won,olympics_matches_lost,olympics_matches_win_percentage,atp500_matches_won,atp500_matches_lost,atp500_matches_win_percentage,atp250_matches_won,atp250_matches_lost,atp250_matches_win_percentage,davis_cup_matches_won,davis_cup_matches_lost,davis_cup_matches_win_percentage,team_cups_matches_won,team_cups_matches_lost,team_cups_matches_win_percentage,best_of_3_matches_won,best_of_3_matches_lost,best_of_3_matches_win_percentage,best_of_5_matches_won,best_of_5_matches_lost,best_of_5_matches_win_percentage,hard_matches_won,hard_matches_lost,hard_matches_win_percentage,clay_matches_won,clay_matches_lost,clay_matches_win_percentage,grass_matches_won,grass_matches_lost,grass_matches_win_percentage,carpet_matches_won,carpet_matches_lost,carpet_matches_win_percentage,outdoor_matches_won,outdoor_matches_lost,outdoor_matches_win_percentage,indoor_matches_won,indoor_matches_lost,indoor_matches_win_percentage,deciding_sets_won,deciding_sets_lost,deciding_sets_win_percentage,fifth_sets_won,fifth_sets_lost,fifth_sets_win_percentage,finals_won,finals_lost,finals_win_percentage,vs_no1_won,vs_no1_lost,vs_no1_win_percentage,vs_top5_won,vs_top5_lost,vs_top5_win_percentage,vs_top10_won,vs_top10_lost,vs_top10_win_percentage,after_winning_first_set_won,after_winning_first_set_lost,after_winning_first_set_win_percentage,after_losing_first_set_won,after_losing_first_set_lost,after_losing_first_set_win_percentage,tie_breaks_won,tie_breaks_lost,tie_breaks_win_percentage,deciding_set_tbs_won,deciding_set_tbs_lost,deciding_set_tbs_win_percentage,id,Rank,Move,Player name,Country,Points
4291,Malek,Jaziri,Malek Jaziri,20/01/84,TUN,185.0,,R,2.0,t,2003.0,"US$ 3,947,792",https://en.wikipedia.org/wiki/Malek_Jaziri,38 years 9 mons 10 days,,,42.0,07/01/19,1042.0,07/01/19,135.0,1757.0,52.0,03/04/17,1922.0,03/04/17,,0,0,0,0,0,0,0,0,0,4291.0,98.0,138.0,0.42,11.0,24.0,0.31,,,0.0,,,0.0,11.0,15.0,0.42,1.0,2.0,0.33,23.0,26.0,0.47,37.0,65.0,0.36,15.0,6.0,0.71,,,0.0,78.0,109.0,0.42,20.0,29.0,0.41,66.0,87.0,0.43,23.0,31.0,0.43,8.0,19.0,0.3,1.0,1.0,0.5,89.0,118.0,0.43,9.0,20.0,0.31,37.0,40.0,0.48,7.0,7.0,0.5,0.0,1.0,0.0,0.0,3.0,0.0,3.0,8.0,0.27,3.0,13.0,0.19,75.0,27.0,0.74,22.0,111.0,0.17,39.0,54.0,0.42,5.0,5.0,0.5,JaziriMalek,436.0,3,Jaziri Malek,Tunisia,99
4311,Andreas,Seppi,Andreas Seppi,21/02/84,ITA,191.0,,R,2.0,t,2002.0,"US$ 11,061,850",https://en.wikipedia.org/wiki/Andreas_Seppi,38 years 8 mons 9 days,100.0,744.0,18.0,28/01/13,1895.0,08/04/13,112.0,1795.0,21.0,03/08/15,2030.0,08/07/13,315.0,5,0,3,0,0,0,0,0,0,4311.0,384.0,417.0,0.48,63.0,66.0,0.49,,,0.0,,,0.0,66.0,92.0,0.42,3.0,3.0,0.5,49.0,64.0,0.43,182.0,171.0,0.52,20.0,19.0,0.51,1.0,2.0,0.33,306.0,334.0,0.48,78.0,83.0,0.48,187.0,223.0,0.46,130.0,135.0,0.49,63.0,48.0,0.57,4.0,10.0,0.29,310.0,332.0,0.48,74.0,85.0,0.47,149.0,130.0,0.53,23.0,21.0,0.52,3.0,7.0,0.3,0.0,10.0,0.0,5.0,48.0,0.09,10.0,83.0,0.11,289.0,65.0,0.82,95.0,352.0,0.21,156.0,184.0,0.46,22.0,17.0,0.56,AndreasSeppi,352.0,1,Seppi Andreas,Italy,135
4459,Dustin,Brown,Dustin Brown,08/12/84,GER,196.0,,R,2.0,t,2002.0,"US$3,032,697",https://en.wikipedia.org/wiki/Dustin_Brown_(tennis),37 years 10 mons 22 days,,,64.0,10/10/16,778.0,03/10/16,,,51.0,09/01/17,1916.0,25/07/16,,0,0,0,0,0,0,0,0,0,4459.0,62.0,99.0,0.39,9.0,20.0,0.31,,,0.0,,,0.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,7.0,0.42,48.0,66.0,0.42,0.0,1.0,0.0,,,0.0,53.0,78.0,0.4,9.0,21.0,0.3,23.0,45.0,0.34,21.0,31.0,0.4,18.0,23.0,0.44,,,0.0,51.0,85.0,0.38,11.0,14.0,0.44,22.0,39.0,0.36,2.0,4.0,0.33,,,0.0,1.0,2.0,0.33,2.0,8.0,0.2,5.0,12.0,0.29,51.0,19.0,0.73,11.0,80.0,0.12,41.0,54.0,0.43,6.0,10.0,0.38,BrownDustin,,,,,
4467,Gilles,Simon,Gilles Simon,27/12/84,FRA,183.0,,R,2.0,t,2002.0,"US$15,632,686 38th all-time leader in earnings",https://en.wikipedia.org/wiki/Gilles_Simon,37 years 10 mons 3 days,,,6.0,05/01/09,4170.0,02/02/09,118.0,1790.0,9.0,11/01/09,2124.0,02/02/09,113.0,29,0,14,0,0,0,0,0,0,4467.0,497.0,386.0,0.56,88.0,60.0,0.59,2.0,2.0,0.5,,,0.0,122.0,107.0,0.53,6.0,4.0,0.6,62.0,60.0,0.51,208.0,140.0,0.6,8.0,10.0,0.44,1.0,3.0,0.25,404.0,317.0,0.56,93.0,69.0,0.57,297.0,220.0,0.57,145.0,117.0,0.55,51.0,42.0,0.55,4.0,7.0,0.36,365.0,292.0,0.56,132.0,94.0,0.58,180.0,122.0,0.6,19.0,15.0,0.56,14.0,8.0,0.64,2.0,6.0,0.25,12.0,53.0,0.18,34.0,92.0,0.27,384.0,60.0,0.86,113.0,325.0,0.26,171.0,182.0,0.48,21.0,19.0,0.53,GillesSimon,145.0,2,Simon Gilles,France,385
4526,Stan,Wawrinka,Stan Wawrinka,28/03/85,SUI,183.0,81.0,R,1.0,t,2002.0,"US$34,778,261 6th all-time leader in earnings",https://en.wikipedia.org/wiki/Stan_Wawrinka,37 years 7 mons 2 days,81.0,822.0,3.0,27/01/14,6865.0,23/11/15,18.0,2052.0,5.0,17/02/14,2291.0,20/04/14,34.0,104,0,16,4,3,0,0,1,0,4526.0,533.0,309.0,0.63,151.0,58.0,0.72,7.0,8.0,0.47,,,0.0,155.0,108.0,0.59,1.0,2.0,0.33,74.0,46.0,0.62,123.0,74.0,0.62,22.0,13.0,0.63,,,0.0,362.0,239.0,0.6,171.0,70.0,0.71,309.0,176.0,0.64,184.0,93.0,0.66,31.0,31.0,0.5,8.0,9.0,0.47,453.0,244.0,0.65,80.0,65.0,0.55,163.0,121.0,0.57,29.0,24.0,0.55,16.0,14.0,0.53,5.0,21.0,0.19,21.0,77.0,0.21,58.0,96.0,0.38,416.0,78.0,0.84,116.0,231.0,0.33,237.0,204.0,0.54,24.0,17.0,0.59,StanWawrinka,150.0,-,Wawrinka Stan,Switzerland,377
4541,Jo Wilfried,Tsonga,Jo Wilfried Tsonga,17/04/85,FRA,188.0,91.0,R,2.0,t,2004.0,"US$ 22,210,076 17th all-time leader in earnings",https://en.wikipedia.org/wiki/Jo_Wilfried_Tsonga,37 years 6 mons 13 days,,,5.0,27/02/12,5230.0,11/06/12,49.0,1925.0,6.0,02/03/09,2244.0,09/01/12,53.0,71,0,18,2,0,0,0,2,0,4541.0,465.0,231.0,0.67,121.0,47.0,0.72,4.0,7.0,0.36,,,0.0,121.0,77.0,0.61,4.0,2.0,0.67,46.0,33.0,0.58,145.0,54.0,0.73,22.0,10.0,0.69,2.0,1.0,0.67,326.0,175.0,0.65,139.0,56.0,0.71,315.0,149.0,0.68,89.0,54.0,0.62,51.0,25.0,0.67,9.0,3.0,0.75,326.0,171.0,0.66,139.0,60.0,0.7,125.0,76.0,0.62,16.0,12.0,0.57,18.0,12.0,0.6,3.0,11.0,0.21,19.0,62.0,0.23,45.0,88.0,0.34,376.0,50.0,0.88,89.0,180.0,0.33,229.0,164.0,0.58,18.0,14.0,0.56,JoTsongaWilfried,,,,,
4544,John,Isner,John Isner,26/04/85,USA,208.0,111.0,R,2.0,t,2007.0,"US$20,044,639 23rd all-time leader in earnings",https://en.wikipedia.org/wiki/John_Isner,37 years 6 mons 4 days,24.0,1991.0,8.0,16/07/18,3720.0,16/07/18,21.0,2039.0,10.0,13/04/12,2147.0,26/08/12,75.0,49,0,16,1,0,0,0,1,0,4544.0,455.0,279.0,0.62,81.0,51.0,0.61,0.0,3.0,0.0,,,0.0,137.0,87.0,0.61,3.0,1.0,0.75,57.0,43.0,0.57,161.0,77.0,0.68,15.0,11.0,0.58,1.0,6.0,0.14,363.0,217.0,0.63,92.0,62.0,0.6,331.0,193.0,0.63,75.0,61.0,0.55,49.0,25.0,0.66,,,0.0,408.0,236.0,0.63,47.0,43.0,0.52,165.0,123.0,0.57,11.0,21.0,0.34,16.0,13.0,0.55,2.0,10.0,0.17,10.0,45.0,0.18,26.0,69.0,0.27,365.0,65.0,0.85,90.0,213.0,0.3,460.0,291.0,0.61,55.0,45.0,0.55,IsnerJohn,42.0,1,Isner John,USA,1005
4546,Horacio,Zeballos,Horacio Zeballos,27/04/85,ARG,188.0,,L,1.0,t,2003.0,"$5,674,791",https://en.wikipedia.org/wiki/Horacio_Zeballos,37 years 6 mons 3 days,,,39.0,04/03/13,1027.0,18/03/13,,,50.0,12/06/17,1927.0,12/06/17,462.0,2,0,1,0,0,0,0,0,0,4546.0,91.0,133.0,0.41,10.0,23.0,0.3,,,0.0,,,0.0,10.0,17.0,0.37,,,0.0,10.0,16.0,0.38,57.0,75.0,0.43,2.0,1.0,0.67,2.0,1.0,0.67,81.0,110.0,0.42,10.0,23.0,0.3,31.0,52.0,0.37,58.0,70.0,0.45,2.0,11.0,0.15,,,0.0,79.0,117.0,0.4,12.0,16.0,0.43,34.0,29.0,0.54,2.0,2.0,0.5,1.0,1.0,0.5,,,0.0,1.0,4.0,0.2,1.0,9.0,0.1,70.0,23.0,0.75,21.0,110.0,0.16,54.0,66.0,0.45,7.0,7.0,0.5,HoracioZeballos,,,,,
4654,Pablo,Cuevas,Pablo Cuevas,01/01/86,URU,180.0,,R,1.0,t,2004.0,"US$9,380,133",https://en.wikipedia.org/wiki/Pablo_Cuevas,36 years 9 mons 29 days,95.0,760.0,19.0,15/08/16,1865.0,22/05/17,105.0,1814.0,26.0,09/05/16,2004.0,15/05/17,224.0,9,0,6,0,0,0,0,0,0,4654.0,238.0,217.0,0.52,24.0,40.0,0.38,,,0.0,,,0.0,31.0,42.0,0.42,1.0,1.0,0.5,39.0,39.0,0.5,114.0,85.0,0.57,29.0,7.0,0.81,0.0,3.0,0.0,196.0,171.0,0.53,42.0,46.0,0.48,63.0,91.0,0.41,167.0,114.0,0.59,7.0,11.0,0.39,1.0,1.0,0.5,210.0,191.0,0.52,28.0,26.0,0.52,71.0,76.0,0.48,5.0,11.0,0.31,6.0,4.0,0.6,0.0,3.0,0.0,3.0,11.0,0.21,5.0,24.0,0.17,195.0,46.0,0.81,43.0,171.0,0.2,111.0,96.0,0.54,14.0,12.0,0.54,CuevasPablo,241.0,2,Cuevas Pablo,Uruguay,223
4659,Sergiy,Stakhovsky,Sergiy Stakhovsky,06/01/86,UKR,193.0,,R,1.0,t,2003.0,"US$5,555,525",https://en.wikipedia.org/wiki/Sergiy_Stakhovsky,36 years 9 mons 24 days,,,31.0,27/09/10,1263.0,13/09/10,124.0,1777.0,44.0,29/08/10,1947.0,29/08/10,340.0,4,0,4,0,0,0,0,0,0,4659.0,172.0,213.0,0.45,24.0,37.0,0.39,,,0.0,,,0.0,18.0,28.0,0.39,0.0,1.0,0.0,15.0,25.0,0.38,88.0,105.0,0.46,27.0,17.0,0.61,,,0.0,125.0,162.0,0.44,47.0,51.0,0.48,107.0,124.0,0.46,33.0,55.0,0.38,26.0,28.0,0.48,4.0,6.0,0.4,126.0,160.0,0.44,46.0,53.0,0.46,60.0,59.0,0.5,10.0,7.0,0.59,4.0,0.0,1.0,0.0,2.0,0.0,1.0,12.0,0.08,3.0,34.0,0.08,142.0,43.0,0.77,30.0,170.0,0.15,87.0,90.0,0.49,16.0,10.0,0.62,SergiyStakhovsky,,,,,
4664,Pablo,Andujar,Pablo Andujar,23/01/86,ESP,180.0,,R,2.0,t,2004.0,"$6,205,856",https://en.wikipedia.org/wiki/Pablo_Andujar,36 years 9 mons 7 days,87.0,800.0,32.0,13/07/15,1205.0,13/07/15,93.0,1834.0,49.0,27/10/14,1929.0,13/07/15,282.0,6,0,4,0,0,0,0,0,0,4664.0,154.0,225.0,0.41,22.0,38.0,0.37,,,0.0,,,0.0,21.0,39.0,0.35,0.0,1.0,0.0,29.0,36.0,0.45,81.0,109.0,0.43,1.0,2.0,0.33,,,0.0,131.0,185.0,0.41,23.0,40.0,0.37,41.0,100.0,0.29,110.0,109.0,0.5,3.0,16.0,0.16,,,0.0,143.0,199.0,0.42,11.0,26.0,0.3,49.0,72.0,0.4,8.0,7.0,0.53,4.0,5.0,0.44,0.0,3.0,0.0,1.0,12.0,0.08,6.0,24.0,0.2,126.0,45.0,0.74,27.0,180.0,0.13,49.0,66.0,0.43,3.0,9.0,0.25,AndujarPablo,123.0,-,Andujar Pablo,Spain,467
4677,Viktor,Troicki,Viktor Troicki,10/02/86,SRB,193.0,86.0,R,2.0,t,2006.0,"US$ 9,265,938",https://en.wikipedia.org/wiki/Viktor_Troicki,36 years 8 mons 20 days,,,12.0,06/06/11,2015.0,15/08/11,115.0,1793.0,15.0,03/04/11,2091.0,17/04/11,290.0,6,0,3,0,0,0,0,0,0,4677.0,295.0,273.0,0.52,50.0,39.0,0.56,,,0.0,,,0.0,53.0,70.0,0.43,0.0,2.0,0.0,37.0,47.0,0.44,127.0,100.0,0.56,17.0,11.0,0.61,11.0,4.0,0.73,232.0,226.0,0.51,63.0,47.0,0.57,191.0,173.0,0.52,71.0,69.0,0.51,33.0,31.0,0.52,,,0.0,235.0,222.0,0.51,60.0,51.0,0.54,100.0,73.0,0.58,21.0,15.0,0.58,3.0,6.0,0.33,0.0,7.0,0.0,3.0,41.0,0.07,10.0,65.0,0.13,227.0,41.0,0.85,68.0,232.0,0.23,114.0,114.0,0.5,17.0,12.0,0.59,TroickiViktor,,,,,
